Country name,2010,2011,2012,2013
Iceland,93.4,94.8,96.2,96.5
Bermuda,84.2,88.3,91.3,95.3
Norway,93.4,93.5,94.6,95.1
Sweden,90,92.8,93.2,94.8
Denmark,88.7,89.8,92.3,94.6
Andorra,81,81,86.4,94
Netherlands,90.7,91.4,92.9,94
Liechtenstein,80,85,89.4,93.8
Luxembourg,90.6,90,91.9,93.8
Finland,86.9,88.7,89.9,91.5
Monaco,75,80.3,87,90.7
Bahrain,55,77,88,90
Faeroe Islands,75.2,80.7,85.3,90
United Kingdom,85,85.4,87.5,89.8
United Arab Emirates,68,78,85,88
Switzerland,83.9,85.2,85.2,86.7
Japan,78.2,79.1,86.3,86.3
Canada,80.3,83,83,85.8
Qatar,69,69,69.3,85.3
"Korea, Rep.",83.7,83.8,84.1,84.8
United States,71.7,69.7,79.3,84.2
Germany,82,81.3,82.3,84
Australia,76,79.5,79,83
New Zealand,80.5,81.2,82,82.8
Belgium,75,81.6,80.7,82.2
France,77.3,77.8,81.4,81.9
Austria,75.2,78.7,80,80.6
Estonia,74.1,76.5,78.4,80
St. Kitts and Nevis,76,77.6,79.3,80
Aruba,62,69,74,78.9
Ireland,69.9,74.9,76.9,78.2
Slovak Republic,75.7,74.4,76.7,77.9
Kuwait,61.4,65.8,70.5,75.5
Latvia,68.4,69.7,73.1,75.2
Barbados,68.1,71.8,73.3,75
"Hong Kong SAR, China",72,72.2,72.9,74.2
Cayman Islands,66,69.5,74.1,74.1
Czech Republic,68.8,70.5,73.4,74.1
Puerto Rico,45.3,48,69,73.9
Singapore,71,71,72,73
Slovenia,70,67.3,68.3,72.7
Hungary,65,68,70.6,72.6
"Bahamas, The",43,65,71.7,72
Spain,65.8,67.6,69.8,71.6
Israel,67.5,68.9,70.8,70.8
Lebanon,43.7,52,61.2,70.5
Malta,63,68,68.2,68.9
Lithuania,62.1,63.6,67.2,68.5
Bosnia and Herzegovina,52,60,65.4,67.9
Malaysia,56.3,61,65.8,67
Croatia,56.6,57.8,61.9,66.7
Chile,45,52.2,61.4,66.5
Oman,35.8,48,60,66.5
New Caledonia,42,50,58,66
Greenland,63,64,64.9,65.8
"Macao SAR, China",55.2,60.2,61.3,65.8
Cyprus,53,56.9,60.7,65.5
Guam,54,57.7,61.5,65.4
Brunei Darussalam,53,56,60.3,64.5
Trinidad and Tobago,48.5,55.2,59.5,63.8
Antigua and Barbuda,47,53,59,63.4
Poland,62.3,61.9,62.3,62.8
Portugal,53.3,55.2,60.3,62.1
Russian Federation,43,49,63.8,61.4
"Macedonia, FYR",51.9,56.7,57.4,61.2
Saudi Arabia,41,47.5,54,60.5
Albania,45,49,54.7,60.1
Argentina,45,51,55.8,59.9
Greece,44.4,51.6,55.1,59.9
Dominica,47.5,51.3,55.2,59
Azerbaijan,46,50,54.2,58.7
Italy,53.7,54.4,55.8,58.5
Uruguay,46.4,51.4,54.5,58.1
French Polynesia,49,49,52.9,56.8
Montenegro,37.5,35.6,56.8,56.8
Morocco,52,46.1,55.4,56
"Venezuela, RB",37.4,40.2,49.1,54.9
Belarus,31.8,39.6,46.9,54.2
Kazakhstan,31.6,50.6,53.3,54
Bulgaria,46.2,48,51.9,53.1
St. Vincent and the Grenadines,38.5,43,47.5,52
Colombia,36.5,40.4,49,51.7
Brazil,40.7,45.7,48.6,51.6
Serbia,40.9,42.2,48.1,51.5
San Marino,,49.6,50.9,50.8
Seychelles,41,43.2,47.1,50.4
Romania,39.9,40,45.9,49.8
"Egypt, Arab Rep.",31.4,39.8,44,49.6
South Africa,24,34,41,48.9
Moldova,32.3,38,43.4,48.8
West Bank and Gaza,37.4,41.1,43.4,46.6
Armenia,25,32,39.2,46.3
Turkey,39.8,43.1,45.1,46.3
Costa Rica,36.5,39.2,47.5,46
Dominican Republic,31.4,38,41.2,45.9
China,34.3,38.3,42.3,45.8
Virgin Islands (U.S.),31.2,35.6,40.5,45.3
Jordan,27.2,34.9,41,44.2
Maldives,26.5,34,38.9,44.1
Vietnam,30.7,35.1,39.5,43.9
Tunisia,36.8,39.1,41.4,43.8
Mexico,31.1,37.2,39.8,43.5
Georgia,26.9,31.5,36.9,43.1
Panama,40.1,42.7,40.3,42.9
Ukraine,23.3,28.7,35.3,41.8
Ecuador,29,31.4,35.1,40.4
Bolivia,22.4,30,35.5,39.5
Peru,34.8,36,38.2,39.2
Kenya,14,28,32.1,39
Mauritius,28.3,35,35.4,39
Uzbekistan,20,30.2,36.5,38.2
Nigeria,24,28.4,32.8,38
Jamaica,27.7,37.4,33.8,37.8
Cabo Verde,30,32,34.7,37.5
Suriname,31.6,32,34.7,37.4
Fiji,20,28,33.7,37.1
Philippines,25,29,36.2,37
Tuvalu,25,30,35,37
Paraguay,19.8,24.8,29.3,36.9
St. Lucia,43.3,45,34.8,35.2
Grenada,27,30,32,35
Tonga,16,25,34.9,35
Guyana,29.9,31,33,33
Belize,14,18.7,25,31.7
"Iran, Islamic Rep.",14.7,21,27.5,31.4
Bhutan,13.6,21,25.4,29.9
Thailand,22.4,23.7,26.5,28.9
"Micronesia, Fed. Sts.",20,22.8,26,27.8
Syrian Arab Republic,20.7,22.5,24.3,26.2
Cuba,15.9,16,25.6,25.7
Swaziland,11,18.1,20.8,24.7
Kyrgyz Republic,18.4,20,21.7,23.4
El Salvador,15.9,18.9,20.3,23.1
Sao Tome and Principe,18.8,20.2,21.6,23
Sudan,16.7,17.3,21,22.7
Sri Lanka,12,15,18.3,21.9
Senegal,16,17.5,19.2,20.9
"Yemen, Rep.",12.4,14.9,17.4,20
Guatemala,10.5,12.3,16,19.7
Angola,10,14.8,16.9,19.1
Zimbabwe,11.5,15.7,17.1,18.5
Honduras,11.1,15.9,18.1,17.8
Mongolia,10.2,12.5,16.4,17.7
Algeria,12.5,14,15.2,16.5
Libya,14,14,,16.5
Equatorial Guinea,6,11.5,13.9,16.4
Uganda,12.5,13,14.7,16.2
Tajikistan,11.6,13,14.5,16
Indonesia,10.9,11.1,14.7,15.8
Nicaragua,10,10.6,13.5,15.5
Zambia,10,11.5,13.5,15.4
Samoa,7,11,12.9,15.3
India,7.5,10.1,12.6,15.1
Botswana,6,8,11.5,15
"Gambia, The",9.2,10.9,12.4,14
Namibia,11.6,12,12.9,13.9
Nepal,7.9,9,11.1,13.3
Lao PDR,7,9,10.7,12.5
Ghana,7.8,14.1,12.3,12.3
Marshall Islands,7,8.1,10,11.7
Kiribati,9.1,10,10.7,11.5
Vanuatu,8,9.2,10.6,11.3
Pakistan,8,9,10,10.9
Haiti,8.4,9,9.8,10.6
Turkmenistan,3,5,7.2,9.6
Djibouti,6.5,7,8.3,9.5
Gabon,7.2,8,8.6,9.2
Iraq,2.5,5,7.1,9.2
Rwanda,8,7,8,8.7
Solomon Islands,5,6,7,8
"Congo, Rep.",5,5.6,6.1,6.6
Bangladesh,3.7,5,5.8,6.5
Comoros,5.1,5.5,6,6.5
Papua New Guinea,1.3,2,3.5,6.5
Cameroon,4.3,5,5.7,6.4
Mauritania,4,4.5,5.4,6.2
Cambodia,1.3,3.1,4.9,6
Afghanistan,4,5,5.5,5.9
Malawi,2.3,3.3,4.4,5.4
